question,A,B,C,D,correct
У якому році було прийнято Конституцію України?,1991,2000,1996,2005,C
Яку дату проголосили Днем незалежності України?,28 червня,24 серпня,1 грудня,22 січня,B
Хто був першим президентом незалежної України?,Леонід Кучма,Петро Порошенко,Леонід Кравчук,Віктор Ющенко,C
В якому році відбулась коронація Володимира Великого?,1025,988,1240,862,B
Яка держава створила Гетьманщину?,Річ Посполита,Польща,Османська імперія,Запорозьке Козацтво,D
Коли відбулась битва під Крутами?,1920,1918,1917,1919,B
В якому році сталася Жовтоводська битва?,1772,1651,1648,1709,C
Хто керував повстанням Хмельницького?,Іван Мазепа,Богдан Хмельницький,Петро Сагайдачний,Данило Апостол,B
Який договір поклав початок союзних відносин з Московією?,Бахчисарайський,Переяславський,Гадяцький,Андрусівський,B
Коли остаточно було поділено Україну по Дніпру між Річчю Посполитою та Московією?,1654,1709,1795,1667,D
У якому році було анексовано Крим Катериною II?,1783,1804,1791,1772,A
Коли було прийнято Емський указ, що забороняв українську мову?,1863,1900,1876,1830,C
Що таке Голодомор 1932–33 років?,штучний голод,техногенна аварія,природний голод,національне повстання,A
У якому році сталася аварія на Чорнобильській АЕС?,1990,1982,1986,1995,C
Коли відбулася Революція Гідності?,1991,2010,2013–14,2004,C
Який рух відбувся у 2004 році?,Революція Гідності,Євромайдан,Советська революція,Оранжева революція,D
Президент України у 2014 році?,Леонід Кравчук,Петро Порошенко,Віктор Янукович,Володимир Зеленський,B
Коли Україна стала членом ООН?,1991,1955,1945,1960,C
Хто очолив Центральну Раду у 1917 році?,Микола Лисенко,Михайло Грушевський,Володимир Винниченко,Симон Петлюра,B
У якому році відбулося об’єднання УНР та ЗУНР?,1918,1917,1919,1920,C
Коли проголошено УНР незалежною державою?,1918,1920,1919,1917,A
Коли почалася українська війна за незалежність?,1922,1918,1917,1920,C
Яка річка стала кордоном за Андрусівським договором?,Дніпро,Тиса,Прут,Дністер,A
Хто очолював Гетьманат після перевороту 1918 року?,Мазепа,Павло Скоропадський,Дорошенко,Розумовський,B
Який рік розпочав польсько-радянську війну?,1918,1921,1920,1919,C
Коли Україна провела референдум про незалежність?,28 червня,24 серпня,22 січня,1 грудня,D
Яким був відсоток голосів «так» за незалежність у 1991 році?,92%,90%,95%,84%,A
Хто організував Голодомор?,Махно,СТАЛІН,Троцький,Дорошенко,B
Який рік початку Голодомору?,1930,1933,1929,1932,D
Яка столиця Української Народної Республіки?,Харків,Київ,Львів,Одеса,B
Хто був останнім гетьманом України?,Петро Дорошенко,Павло
