question,A,B,C,D,correct
Яка частина мови відповідає на питання «що робити?»,Числівник,Дієслово,Прикметник,Іменник,B
Яка частина мови називає предмет?,Іменник,Прислівник,Частка,Дієслово,A
Що таке синоніми?,Омоніми,Слова з близьким значенням,Слова з протилежним значенням,Числівники,B
Що таке антоніми?,Числівники,Прийменники,Слова з протилежним значенням,Слова з близьким значенням,C
Яке слово є займенником?,Він,Будинок,Швидко,Читати,A
Яке з цих слів є прислівником?,Швидкість,Швидкий,Швидко,Швидша,C
Яка частина мови вказує на кількість предметів?,Дієслово,Прислівник,Числівник,Іменник,C
Яке з наведених слів є прикметником?,Синій,Синіти,Синь,Синьо,A
Яка форма слова «читати» є минулим часом?,Читає,Читав,Читатиму,Читаєш,B
У якому слові є префікс?,Їхав,Переїхати,Їхати,Їзда,B
Яке з цих слів є іменником?,Дім,Іти,Білий,Скоро,A
Що таке корінь слова?,Спільна частина споріднених слів,Закінчення,Суфікс,Префікс,A
Яке слово є вигуком?,Білий,Бігти,Дім,Ой,D
У якому слові є суфікс?,Книжечка,Книжка,Книга,Книг,A
Яке з цих слів має закінчення -а?,Руки,Рукою,Рука,Руці,C
Яке з цих речень є розповідним?,Ходімо гуляти!,Сонце світить яскраво.,Чи підеш ти зі мною?,Не роби цього!,B
Яке з речень є питальним?,Не роби цього!,Він зробив це.,Хто це зробив?,Зроби це!,C
Яке речення є окличним?,Я читаю книжку.,Коли ми підемо?,Візьми зошит.,Який гарний день!,D
Що таке фразеологізм?,Словосполучення,Просте речення,Назва предмета,Стійкий вираз зі зміненим значенням,D
Який розділовий знак ставиться в кінці окличного речення?,.,?,!,",",C
Яке з наведених слів є прийменником?,Під,Великий,Книга,Писати,A
Яке з речень складне?,Мама готує.,Дощ іде.,Я читаю.,"Я читав книгу, а сестра дивилась фільм.",D
Яка з частин мови змінюється за відмінками?,Іменник,Дієслово,Вигук,Прислівник,A
Яке з наведених речень є безсполучниковим?,"Коли день настав, стало тепло.","Коли сонце зійшло, почався день.","Сонце зійшло, і день почався.",Сонце зійшло — почався день.,D
У якому рядку всі слова — прикметники?,"Веселий, швидко, біг","Швидко, зелений, ніжно","Читати, веселий, будинок","Зелений, синій, веселий",D
Яке з наведених слів є прикметником?,Синій,Синь,Синьо,Синіти,A
У якому рядку всі слова — прикметники?,"Швидко, зелений, ніжно","Веселий, швидко, біг","Зелений, синій, веселий","Читати, веселий, будинок",C
Яке з речень є питальним?,Зроби це!,Він зробив це.,Не роби цього!,Хто це зробив?,D
Яка з частин мови змінюється за відмінками?,Дієслово,Іменник,Прислівник,Вигук,B
Яке з цих слів має закінчення -а?,Руці,Рукою,Руки,Рука,D
Що таке корінь слова?,Суфікс,Спільна частина споріднених слів,Закінчення,Префікс,B
Яке з наведених речень є безсполучниковим?,"Коли день настав, стало тепло.","Коли сонце зійшло, почався день.","Сонце зійшло, і день почався.",Сонце зійшло — почався день.,D
Яке з цих слів є іменником?,Білий,Іти,Дім,Скоро,C
Яке слово є займенником?,Він,Будинок,Швидко,Читати,A
Яке з наведених слів є прийменником?,Книга,Великий,Під,Писати,C
Що таке антоніми?,Числівники,Слова з близьким значенням,Слова з протилежним значенням,Прийменники,C
Яка частина мови вказує на кількість предметів?,Прислівник,Числівник,Іменник,Дієслово,B
Яке з речень складне?,Дощ іде.,"Я читав книгу, а сестра дивилась фільм.",Я читаю.,Мама готує.,B
Яка частина мови відповідає на питання «що робити?»,Іменник,Числівник,Дієслово,Прикметник,C
У якому слові є префікс?,Їхав,Їхати,Їзда,Переїхати,D
Який розділовий знак ставиться в кінці окличного речення?,.,?,",",!,D
Яке з цих речень є розповідним?,Ходімо гуляти!,Не роби цього!,Чи підеш ти зі мною?,Сонце світить яскраво.,D
Яка частина мови називає предмет?,Дієслово,Частка,Прислівник,Іменник,D
Що таке синоніми?,Числівники,Слова з протилежним значенням,Слова з близьким значенням,Омоніми,C
Яка форма слова «читати» є минулим часом?,Читаєш,Читатиму,Читав,Читає,C
Що таке фразеологізм?,Стійкий вираз зі зміненим значенням,Просте речення,Словосполучення,Назва предмета,A
У якому слові є суфікс?,Книга,Книжка,Книжечка,Книг,C
Яке речення є окличним?,Я читаю книжку.,Який гарний день!,Візьми зошит.,Коли ми підемо?,B
Яке з цих слів є прислівником?,Швидкість,Швидко,Швидша,Швидкий,B
